Codigo,Descripcion,Marca,Rubro,Subrubro,Categoria,CostoSinIVA,VentaSinIVA,Stock,Unidad
SA2817,ACC.0404 BRONCE TRAF.P/GAS ENTRERROSCA 3/8 P/PES  11/3 (50),Plomeria,Plomeria,Distribucion De Gas,Distribucion De Gas,1204.36,1625.89,47,Unidad
SA3212,ACCESORIO EPOXI NIPLE 3/4 X 18CM IPAC APROBADO,Accesorio,Plomeria,Distribucion De Agua,Distribucion De Agua,1903.37,2569.55,47,Unidad
SA9813,GLOA GRIFERIA MONOC. LINEA AMUR COCINA PICO FLEXIBLE ROJO GMCA0400404R,Gloa,Baños Y Cocinas,Griferias,Griferias,75447.40,101853.99,45,Unidad
SA3419,ACQUA SYSTEM TERMOFUSION CODO 90Ñ ROSCA H. 32X1   08-091032025,Acqua,Plomeria,Distribucion De Agua,Distribucion De Agua,2896.41,3910.16,42,Unidad
CO9190,KLAUKOL ADITIVO VINILICO UNIVERSAL  X   4KG **BAJA**,Klaukol,Albañileria,Aditivos,Aditivos,9242.47,12477.34,39,Unidad
SA2862,ACC.EPOXI BUJE MH 1.1/2 X 3/4   APROBADO   03-241040020,Plomeria,Plomeria,Distribucion De Gas,Distribucion De Gas,1820.90,2458.21,38,Unidad
FE0592,ARANDELA GROWER            3/4   X  5UN,Arandela,Ferreteria General,Fijaciones,Fijaciones,899.21,1213.93,37,Unidad
PI1501,PLAVICON-ENTONADOR VIOLETA      X  30 CC,Pinturas,Pinturas,Interior,Interior,573.63,774.40,36,Unidad
SA3695,LOSUNG-SOLUCION LUBRICANTE AEROSOL X 400CC (12),Ferreteria General,Ferreteria General,Lubricantes,Lubricantes,4655.14,6284.44,35,Unidad
HE1124,PASADOR ARENA DE EMBUTIR(180802)18X80 CINCADO,Pasador,Ferreteria General,Herrajes,Herrajes,1042.51,1407.39,35,Unidad
FE3519,"ABRAZADERA EL TALA-COMPACTA II 14 X 16,5 MM 016A",Abrazadera,Plomeria,Servicio-Ventilacion-Sujecion,Servicio-Ventilacion-Sujecion,336.23,453.92,35,Unidad
HE1505,KUNSTLER-TORNILLOS AUTOPERFORANTE 8X63   TK 8/63,Ferreteria General,Ferreteria General,Fijaciones,Fijaciones,178.11,240.44,34,Unidad
SA3393,ACQUA SYSTEM TERMOFUSION TUBO HEMBRA 50X1.1/2   08-271050040,Acqua,Plomeria,Distribucion De Agua,Distribucion De Agua,12994.15,17542.11,34,Unidad
SA0470,LATYNFLEX FLEXIBLE MALLADO ACERO INOX. 3/4X20 M/FIJO  AF2075  1920753420   (10),Latynflex,Plomeria,Distribucion De Agua,Distribucion De Agua,2627.85,3547.59,33,Unidad
FE3340,PEGASO-LINEA AMARILLA-DISCO FLAP ZIRCONIO  Y180ZP120 /180MM  PLANO (5),Herramientas Electricas,Herramientas Electricas,Corte Herramientas Electricas,Corte Herramientas Electricas,3524.49,4758.06,33,Unidad
HE1329,ROMA-106 RODILLO CON PLANCHUELA   (6-12),Ferreteria General,Ferreteria General,Herrajes,Herrajes,6792.59,9169.99,32,Unidad
HE0055,DELLAVO-4008 PASADOR TIPO MAUSER 150MM HO.NEGRO *   (12) IMP.,Ferreteria General,Ferreteria General,Herrajes,Herrajes,455.94,615.52,32,Unidad
FE4876,NORTON-3054 A257 LIJA MADERA OXIDO ALUM.GRANO  50,Herramientas Manuales,Herramientas Manuales,Herramientas De Corte Y Desbaste,Herramientas De Corte Y Desbaste,377.36,509.44,31,Unidad
SA9373,FLEXIBLE EXTENSIBLE P/CALEFACTOR APROB. 1/2 x 1/4  (DE 30 A 50CM)      DINATECNICA CAFECA 6-30/50 (5-20),Flexible,Plomeria,Distribucion De Gas,Distribucion De Gas,13153.02,17756.57,31,Unidad
SA2198,ACC.EPOXI CUPLA HH 1.1/4  APROBADO   03-270032000,Plomeria,Plomeria,Distribucion De Gas,Distribucion De Gas,1802.93,2433.95,29,Unidad
SA5123,TERMOCUPLA 300 MM C/ROSCADO                  1511,Termocupla,Redes De Gas,Accesorios Redes De Gas,Accesorios Redes De Gas,2796.51,3775.29,28,Unidad
PI1618,EL GALGO-RODILLO GOLD FLOCK N 07 PREMIUM,Pinturas,Pinturas,Accesorios De Pinturas,Accesorios De Pinturas,2869.07,3873.24,28,Unidad
SA9354,GLOA CARTUCHO CERAMICO 46MM  CC0140,Gloa,Baños Y Cocinas,Griferias,Griferias,1895.56,2559.01,27,Unidad
HE0356,DELLAVO-7501/D BISAGRA P/AMURAR 32X200 DER H.FORJ   (6) NAC.,Ferreteria General,Ferreteria General,Herrajes,Herrajes,3299.46,4454.27,27,Unidad
SA0529,ZINGUERIA-MEDIA CAÑA-BOQUETA INTERM.13 CM DERECHA DACAVI,Plomeria,Plomeria,Desagues Y Accesorios Tuberia,Desagues Y Accesorios Tuberia,5421.78,7319.40,27,Unidad
HE0147,DELLAVO-2030 SOPORTE P/REPISA 45MM HIERRO CINCADO   (50) NAC.,Ferreteria General,Ferreteria General,Herrajes,Herrajes,175.06,236.32,26,Unidad
PI1497,PLAVICON-ENTONADOR CEDRO        X  30 CC,Pinturas,Pinturas,Interior,Interior,511.86,691.01,26,Unidad
SA9438,RAO - SOPAPA P/LAVATORIO BRONCE 40 MM  5002.083  (10),Rao,Plomeria,Accesorios De Instalacion,Accesorios De Instalacion,3570.45,4820.11,26,Unidad
EL1588,SICA-DICROICA BAJO CONSUMO CALID 11W ZOCALO GU10,Sica,Instalaciones Elñctricas,"Llaves  , Enchufes,Y Portalamparas E Iluminacion","Llaves  , Enchufes,Y Portalamparas E Iluminacion",8570.22,11569.80,26,Unidad
PI3645,COLORIN LATEX INTERIOR MATE ANTIHONGOS ACRYLATEX BLANCO X 1 LT,Colorin,Pinturas,Interior,Interior,4327.21,5841.74,25,Unidad
CO1920,**BAJA**KLAUKOL PASTINA IMP BOX ANTIHONGO TEJA      X 5KG,Klaukol,Pisos Y Revestimientos,Pastinas Pisos Y Revestimientos,Pastinas Pisos Y Revestimientos,9211.88,12436.04,25,Unidad
EL0173,CAJA DIN C/TAPA EMB/EXT DE 2 A 4 BOCAS TA-0066,Caja,Instalaciones Elñctricas,"Cañerias, Cajas, Gabinetes","Cañerias, Cajas, Gabinetes",2084.56,2814.16,22,Unidad
RV2594,"KARIKAL PISO FLOTANTE 9 MM LAPACHO     005 C=2,00",Karikal,Pisos Y Revestimientos,Pisos Flotantes,Pisos Flotantes,19952.94,26936.47,22,Unidad
EL0952,JELUZ-LLAVE EXTERIOR UNA COMBINACION        50403,Jeluz,Instalaciones Elñctricas,"Llaves  , Enchufes,Y Portalamparas E Iluminacion","Llaves  , Enchufes,Y Portalamparas E Iluminacion",376.92,508.84,20,Unidad
HE0082,DELLAVO-494 PORTACANDADO 28X74MM. H.NEGRO   (12) IMP,Ferreteria General,Ferreteria General,Herrajes,Herrajes,2152.58,2905.99,20,Unidad
CO6038,RETAK ENLUCIDO INTERIOR X 25KG ST00225,Retak,Albañileria,Revoques Albañileria,Revoques Albañileria,16080.77,21709.04,20,Unidad
RV2895,CERAMICA PIU -  PLACA DECO CALCAREO LISO BEIGE CONJ X 8 20X20,Ceramica,Pisos Y Revestimientos,Ceramicos,Ceramicos,10991.02,14837.88,19,Unidad
SA0326,IPS-ACC.POLIET.ESPIGA DOBLE TEE RED.H 3/4 X 1/2 X 3/4    250057   (30),Ips,Plomeria,Riego,Riego,452.78,611.25,19,Unidad
SA9621,ROCA-ITALIANA LAVATORIO 1 AGUJEROS  1040010001100,Roca,Baños Y Cocinas,Sanitarios,Sanitarios,38603.44,52114.65,19,Unidad
PI0532,*BAJA* REPUESTO RODILLO LANA SINTETICA PELO CORTO 22 CM,Pinturas,Pinturas,Accesorios De Pinturas,Accesorios De Pinturas,2690.38,3632.02,19,Unidad
SA2552,DB BOYA DE PRESION TELGOPOR PASANTE 1 190MM 152,Plomeria,Plomeria,Distribucion De Agua,Distribucion De Agua,6294.82,8498.01,18,Unidad
SA9872,TUBOTHERM-PRECINTOS PLASTICOS 200MM BOLSA X 100 U             07-730200000,Calefaccion,Calefaccion,Calefactores Calefaccion,Calefactores Calefaccion,3638.59,4912.10,17,Unidad
SA5208,IDEAL DESBORDE CON GOMA PARA DEPOSITO CHATO 1402,Ideal,Plomeria,Accesorios De Instalacion,Accesorios De Instalacion,1578.28,2130.68,17,Unidad
CO2457,KNAUF BANDA ACUSTICA 70MM X 30MT,Knauf,Construccion En Seco,Accesorios Construccion En Seco,Accesorios Construccion En Seco,11812.43,15946.77,17,Unidad
SA2688,LITARGIRIO X 1000 GRS. (12),Litargirio,Ferreteria General,Adhesivos Y Selladores,Adhesivos Y Selladores,17719.51,23921.34,17,Unidad
PI0062,ALBA TONALBA ENTONADOR UNIVERSAL X 30 CM3 AZUL,Alba,Pinturas,Interior,Interior,853.27,1151.91,15,Unidad
FE2420,EZETA-MECHA DOS PUNTAS 6.10 MM P/REMACHES POP,Herramientas Electricas,Herramientas Electricas,Perforacion Herramientas Electricas,Perforacion Herramientas Electricas,3211.32,4335.29,15,Unidad
SA2759,CANO REVESTIDO EPOXI BISELADO    2     X 6.40 MT,Cano,Plomeria,Distribucion De Gas,Distribucion De Gas,81730.21,110335.79,15,Unidad
CO0183,HIERRO LISO CONSTRUCCION BARRA 25 MM [46.56 KG],Hierro,Siderurgia,Hierros,Hierros,59455.12,80264.41,14,Unidad
HE0098,DELLAVO-5020 ALDABA REVERSIBLE 125MM   (2) IMP.,Ferreteria General,Ferreteria General,Herrajes,Herrajes,6338.11,8556.45,14,Unidad
SA9319,FLEXIBLE P/GAS APROBADO 1/2 X 60CM         DINATECNICA CAFIC 12X60 (5-20),Flexible,Plomeria,Distribucion De Agua,Distribucion De Agua,12653.40,17082.10,14,Unidad
EL0360,GRAMPAS KALOP N*  5 [CAJA    X 100 UNID.]  028001,Grampas,Instalaciones Elñctricas,"Cañerias, Cajas, Gabinetes","Cañerias, Cajas, Gabinetes",1274.50,1720.57,14,Unidad
PI3654,COLORIN LATEX EXTERIOR-INTERIOR MATE ANTIHONGOS ACRYLATEX BLANCO X 4 LT,Colorin,Pinturas,Exterior,Exterior,17671.05,23855.91,14,Unidad
SA0122,IPS-ACC.POLIP.CODO A 90 MH   2    200779  (4),Ips,Plomeria,Distribucion De Agua,Distribucion De Agua,2913.51,3933.23,13,Unidad
CO1406,PERFIL HIERRO REDONDO    3/4   [19.1MM]   X 6 MT,Perfil,Siderurgia,Perfiles Siderurgia,Perfiles Siderurgia,21060.63,28431.85,13,Unidad
SA3843,CANO NEGRO BISELADO 2     X 6.40 MT,Cano,Instalaciones Elñctricas,"Cañerias, Cajas, Gabinetes","Cañerias, Cajas, Gabinetes",52607.07,71019.54,13,Unidad
PI3539,AEROSOL VITROLUX MAGIC 3 EN 1  440 CM3 - MARRON  BRILLANTE.,Aerosol,Pinturas,Interior,Interior,4931.48,6657.50,13,Unidad
